"","STATUS","POLICE_ZONE","COUNCIL_DISTRICT","NEIGHBORHOOD","GEO_ACCURACY","REQUEST_ORIGIN","TRACT","X_full_text","REQUEST_TYPE","PLI_DIVISION","Y","CREATED_ON","PUBLIC_WORKS_DIVISION","REQUEST_ID","DEPARTMENT","X","WARD","X_id","FIRE_ZONE","date"
"31","Open","3","3","South Side Slopes","EXACT","Website","42003160800","'+00':8 '-09':3 '-17':4 '-24':16 '-79.9695294':21 '0':13 '00':7,9 '16':10 '2018':2 '288772':11 '3':14 '30':6 '4':15 '40.4230499':25 '42003160800':12 'dpw':22 'exact':26 'mainten':24 'pothol':20 'side':18 'slope':19 'south':17 'street':23 't08':5 'websit':1","Potholes","16",40.4230499,"2018-09-17T08:30:00","3","288772","DPW - Street Maintenance",-79.9695294,"16",275767,"4-24",2018-09-17
"32","Open","3","3","Allentown","EXACT","Call Center","42003300100","'+00':13 '-09':8 '-17':9 '-6':3 '-79.9919610611':15 '0':16 '00':12,14 '18':19 '2018':7 '288781':4 '3':17 '39':11 '4':2 '40.4184124524':5 '42003300100':26 '5':18 'allentown':6 'call':20 'center':21 'dpw':22 'exact':25 'mainten':24 'overgrowth':1 'street':23 't08':10","Overgrowth","18",40.4184124524231,"2018-09-17T08:39:00","5","288781","DPW - Street Maintenance",-79.9919610610992,"18",275769,"4-6",2018-09-17
"33","Open","4","8","Point Breeze","EXACT","Call Center","42003140400","'+00':7 '-09':2 '-17':3,12 '-79.9113336':10 '0':13 '00':6,8 '14':9 '2':11 '2018':1 '288793':25 '3':14 '4':17 '40.4487978':27 '42003140400':28 '57':5 '8':21 'breez':16 'call':19 'center':20 'dpw':22 'exact':26 'mainten':24 'point':15 'pothol':18 'street':23 't08':4","Potholes","14",40.4487978,"2018-09-17T08:57:00","3","288793","DPW - Street Maintenance",-79.9113336,"14",275784,"2-17",2018-09-17
"34","Open","2","7","Polish Hill","EXACT","Website","42003060500","'+00':14 '-09':9 '-17':10 '-6':4 '-79.961397':2 '0':16 '00':13,15 '14':12 '2':3,17 '2018':8 '288801':22 '40.459311':21 '42003060500':6 '6':7 '7':5 'dpw':23 'exact':26 'hill':20 'mainten':25 'polish':19 'pothol':18 'street':24 't09':11 'websit':1","Potholes","6",40.459311,"2018-09-17T09:14:00","6","288801","DPW - Street Maintenance",-79.961397,"6",275793,"2-6",2018-09-17
"35","Open","5","7","Morningside","EXACT","Call Center","42003101400","'+00':8 '-09':3 '-17':4 '-7':13 '-79.9288688497':15 '00':7,9 '05':6 '10':1 '2':17 '2018':2 '288827':22 '3':12,16 '40.4835481815':14 '42003101400':11 '5':18 '7':10 'call':20 'center':21 'dpw':23 'exact':26 'mainten':25 'morningsid':27 'pothol':19 'street':24 't10':5","Potholes","10",40.4835481815073,"2018-09-17T10:05:00","2","288827","DPW - Street Maintenance",-79.9288688497376,"10",275816,"3-7",2018-09-17
"36","Open","4","5","Hays","EXACT","Call Center","42003562900","'+00':8 '-09':3 '-17':4 '-20':20 '-79.9328165':13 '0':14 '00':7,9 '11':6 '2018':2 '288832':27 '3':15 '31':12 '4':17,19 '40.3898208':26 '42003562900':10 '5':16 'call':21 'center':22 'dpw':23 'exact':11 'hay':1 'mainten':25 'pothol':18 'street':24 't10':5","Potholes","31",40.3898208,"2018-09-17T10:11:00","3","288832","DPW - Street Maintenance",-79.9328165,"31",275823,"4-20",2018-09-17
"37","Open","1","1","Brighton Heights","EXACT","Call Center","42003270100","'+00':17 '-09':12 '-14':3 '-17':13 '-80.0394855':25 '0':6 '00':16,18 '1':2,5 '2018':11 '24':15 '27':1 '288838':9 '40.4818286':4 '42003270100':26 'brighton':7 'call':19 'center':20 'dpw':21 'exact':24 'height':8 'mainten':23 'pothol':10 'street':22 't10':14","Potholes","27",40.4818286,"2018-09-17T10:24:00","1","288838","DPW - Street Maintenance",-80.0394855,"27",275829,"1-14",2018-09-17
"38","Open","4","8","Point Breeze","EXACT","Call Center","42003140400","'+00':22 '-09':17 '-17':6,18 '-79.9198277':4 '0':7 '00':21,23 '14':3 '19':20 '2':5 '2018':16 '288861':2 '3':8 '4':11 '40.4472094':1 '42003140400':28 '8':15 'breez':10 'call':13 'center':14 'dpw':25 'exact':24 'mainten':27 'point':9 'pothol':12 'street':26 't11':19","Potholes","14",40.4472094,"2018-09-17T11:19:00","3","288861","DPW - Street Maintenance",-79.9198277,"14",275851,"2-17",2018-09-17
"39","Open","1","1","Spring Hill-City View","EXACT","Website","42003262000","'+00':8 '-09':3 '-11':23 '-18':4 '-79.9958769':15 '0':21 '00':7,9 '1':20,22 '2018':2 '26':17 '289426':19 '39':6 '40.4666808':18 '42003262000':16 'city':13 'dpw':25 'exact':28 'hill':12 'hill-city':11 'maintenance':27 'potholes':24 'spring':10 'street':26 't19':5 'view':14 'website':1","Potholes","26",40.4666808,"2018-09-18T19:39:00","1","289426","DPW - Street Maintenance",-79.9958769,"26",275867,"1-11",2018-09-18
"40","Open","4","5","Lincoln Place","EXACT","Call Center","42003310200","'+00':12 '-09':7 '-19':8 '-20':21 '-79.9173244':5 '00':11,13 '2018':6 '289508':2 '3':16 '31':3 '34':10 '4':18,20 '40.3793571':4 '42003310200':1 '5':17 'call':22 'center':23 'dpw':24 'exact':27 'lincoln':14 'maintenance':26 'place':15 'potholes':19 'street':25 't09':9","Potholes","31",40.3793571,"2018-09-19T09:34:00","3","289508","DPW - Street Maintenance",-79.9173244,"31",275870,"4-20",2018-09-19
